iter	RMSE
0	4756540.276
1	4418140.163
2	4139005.919
3	3908012.014
4	3725702.374
5	3586732.267
6	3454878.912
7	3351077.168
8	3258357.242
9	3184564.453
10	3123241.17
11	3073307.642
12	3033958.537
13	2991734.894
14	2962052.274
15	2938762.578
16	2913642.235
17	2893823.287
18	2879591.387
19	2861308.263
20	2847034.053
21	2835134.581
22	2818985.323
23	2806031.347
24	2794996.999
25	2787065.857
26	2779952.664
27	2769919.313
28	2760356.365
29	2753617.285
30	2745140.674
31	2737969.551
32	2732713.706
33	2727229.054
34	2720784.708
35	2712951.099
36	2707589.021
37	2704328.586
38	2696125.002
39	2690108.675
40	2686059.748
41	2680055.237
42	2676641.39
43	2672089.325
44	2669053.391
45	2665080.715
46	2658664.025
47	2654684.785
48	2651955.274
49	2649966.35
50	2646674.01
51	2644202.951
52	2641931.013
53	2640065.101
54	2635511.606
55	2632770.139
56	2629480.268
57	2626620.618
58	2624259.371
59	2620018.033
60	2618151.515
61	2616969.471
62	2614329.356
63	2612718.525
64	2611470.534
65	2609881.641
66	2606848.046
67	2602573.718
68	2599704.88
69	2596159.856
70	2595247.784
71	2592089.382
72	2588544.622
73	2583444.426
74	2581281.475
75	2579487.979
76	2577505.284
77	2574787.462
78	2572507.181
79	2570029.786
80	2567969.783
81	2566570.332
82	2563315.807
83	2561226.825
84	2559010.87
85	2556142.511
86	2553284.829
87	2551760.996
88	2550420.322
89	2547987.946
90	2546490.442
91	2544895.896
92	2543383.919
93	2540445.471
94	2538518.999
95	2536534.196
96	2534940.551
97	2533737.484
98	2532940.416
99	2530502.248
100	2528979.845
101	2526347.868
102	2525104.566
103	2523431.574
104	2522236.371
105	2520778.979
106	2518627.665
107	2517756.751
108	2515897.715
109	2513882.695
110	2511694.897
111	2509973.657
112	2508239.926
113	2507470.9
114	2505481.764
115	2503884.181
116	2502544.991
117	2501189.861
118	2500071.96
119	2499327.706
120	2498589.63
121	2497281.168
122	2496425.119
123	2495310.965
124	2494757.067
125	2493990.508
126	2493351.511
127	2492230.838
128	2491087.319
129	2490352.051
130	2489549.34
131	2488286.411
132	2487428.703
133	2486102.831
134	2484962.421
135	2484137.099
136	2483137.004
137	2482043.378
138	2481067.44
139	2480628.996
140	2479839.379
141	2478498.915
142	2477793.601
143	2476606.703
144	2475558.151
145	2474903.005
146	2474288.68
147	2473831.484
148	2472412.283
149	2471804.849
150	2471349.718
151	2470856.022
152	2470303.568
153	2469513.632
154	2467857.182
155	2466958.481
156	2466550.279
157	2465819.472
158	2465125.182
159	2464655.631
160	2464282.945
161	2463684.556
162	2462979.16
163	2462557.026
164	2461748.472
165	2461205.706
166	2460907.749
167	2459869.312
168	2459267.245
169	2458551.656
170	2457817.685
171	2457174.543
172	2456841.135
173	2456306.512
174	2455897.853
175	2455677.782
176	2454923.705
177	2454400.398
178	2454069.434
179	2453737.309
180	2453239.338
181	2452747.53
182	2452465.144
183	2452142.914
184	2451865.759
185	2451579.204
186	2451296.074
187	2450875.594
188	2450056.814
189	2449672.51
190	2449339.947
191	2449040.363
192	2448513.458
193	2448083.682
194	2447237.676
195	2446661.846
196	2446479.868
197	2446189
198	2445773.201
199	2445593.4
200	2445139.592
201	2444881.602
202	2443891.805
203	2443595.833
204	2443274.402
205	2442937.146
206	2442734.971
207	2442316.973
208	2441940.001
209	2441634.769
210	2441404.442
211	2441059.798
212	2440884.325
213	2440273.859
214	2439988.537
215	2439584.259
216	2439306.858
217	2438781.235
218	2438499.771
219	2438270.725
220	2437958.784
221	2437648.915
222	2437247.068
223	2437094.401
224	2436838.262
225	2436383.119
226	2436152.559
227	2435851.036
228	2435599.336
229	2435460.027
230	2435138.377
231	2434905.339
232	2434537.75
233	2434293.522
234	2433890.28
235	2433702.219
236	2433486.23
237	2433220.441
238	2432962.79
239	2432817.478
240	2432734.717
241	2432519.97
242	2432208.782
243	2432088.659
244	2431963.121
245	2431850.267
246	2431681.116
247	2431469.963
248	2431355.757
249	2431209.966
250	2430951.004
251	2430692.674
252	2430476.109
253	2430090.722
254	2429980.364
255	2429786.894
256	2429521.389
257	2429330.785
258	2429063.435
259	2428888.238
260	2428683.772
261	2428451.046
262	2428279.267
263	2428136.688
264	2427831.053
265	2427657.087
266	2427485.529
267	2427412.696
268	2427163.685
269	2426909.156
270	2426783.164
271	2426693.718
272	2426550.676
273	2426400.564
274	2426212.738
275	2426118.531
276	2425989.808
277	2425755.748
278	2425589.969
279	2425516.627
280	2425403.026
281	2425283.927
282	2425125.282
283	2424960.627
284	2424882.044
285	2424711.888
286	2424587.57
287	2424496.213
288	2424389.133
289	2424287.058
290	2424213.065
