iter	Passed	Remaining
0	118	100769
1	234	99449
2	345	97441
3	463	98100
4	576	97499
5	690	97116
6	809	97463
7	924	97311
8	1080	100931
9	1219	102473
10	1332	101597
11	1449	101206
12	1571	101174
13	1691	101004
14	1809	100727
15	1926	100400
16	2061	101010
17	2198	101607
18	2337	102224
19	2470	102516
20	2588	102175
21	2708	101950
22	2827	101653
23	2971	102263
24	3119	102928
25	3258	103273
26	3403	103731
27	3548	104166
28	3685	104331
29	3833	104794
30	3981	105189
31	4213	107699
32	4356	107851
33	4504	108115
34	4623	107669
35	4742	107240
36	4858	106754
37	4978	106391
38	5100	106058
39	5224	105800
40	5334	105263
41	5448	104821
42	5559	104342
43	5672	103914
44	5794	103650
45	5912	103347
46	6029	103017
47	6146	102701
48	6265	102419
49	6374	101992
50	6486	101626
51	6634	101809
52	6782	101986
53	6933	102199
54	7065	102132
55	7212	102263
56	7350	102263
57	7488	102252
58	7626	102250
59	7764	102227
60	7898	102156
61	8026	102018
62	8158	101922
63	8287	101778
64	8415	101632
65	8538	101422
66	8656	101164
67	8775	100917
68	8894	100671
69	9011	100413
70	9129	100163
71	9243	99884
72	9355	99579
73	9472	99334
74	9586	99055
75	9696	98751
76	9812	98504
77	9920	98189
78	10038	97969
79	10159	97781
80	10324	98020
81	10436	97742
82	10551	97505
83	10663	97239
84	10777	96996
85	10887	96721
86	11000	96478
87	11114	96238
88	11231	96035
89	11350	95847
90	11486	95804
91	11611	95669
92	11748	95629
93	11876	95520
94	11997	95350
95	12113	95142
96	12248	95085
97	12367	94898
98	12495	94787
99	12623	94677
100	12745	94521
101	12884	94484
102	13022	94446
103	13153	94349
104	13293	94322
105	13438	94322
106	13579	94294
107	13719	94258
108	13864	94250
109	13991	94124
110	14140	94141
111	14300	94229
112	14494	94535
113	14654	94609
114	14774	94430
115	14914	94374
116	15054	94315
117	15186	94209
118	15317	94092
119	15435	93896
120	15575	93836
121	15716	93784
122	15860	93746
123	16006	93717
124	16146	93651
125	16278	93538
126	16399	93359
127	16528	93230
128	16654	93084
129	16778	92925
130	16898	92747
131	17020	92582
132	17142	92415
133	17265	92255
134	17395	92131
135	17522	91994
136	17643	91822
137	17763	91647
138	17884	91481
139	18003	91302
140	18119	91111
141	18236	90925
142	18359	90769
143	18476	90588
144	18591	90392
145	18711	90225
146	18822	90015
147	18932	89799
148	19045	89604
149	19155	89390
150	19268	89198
151	19384	89015
152	19503	88850
153	19615	88652
154	19726	88449
155	19837	88251
156	19950	88060
157	20062	87868
158	20177	87689
159	20287	87489
160	20397	87291
161	20507	87094
162	20617	86898
163	20727	86700
164	20839	86516
165	20949	86322
166	21060	86135
167	21174	85958
168	21283	85765
169	21395	85581
170	21506	85398
171	21622	85233
172	21735	85056
173	21846	84875
174	21956	84688
175	22067	84509
176	22182	84343
177	22291	84157
178	22398	83962
179	22513	83799
180	22622	83616
181	22737	83453
182	22847	83273
183	22958	83100
184	23069	82926
185	23179	82748
186	23289	82571
187	23405	82416
188	23513	82235
189	23623	82060
190	23736	81898
191	23845	81721
192	23957	81556
193	24070	81393
194	24182	81227
195	24293	81060
196	24407	80903
197	24514	80725
198	24625	80559
199	24733	80384
200	24843	80214
201	24953	80050
202	25064	79885
203	25179	79736
204	25290	79572
205	25401	79410
