iter	Passed	Remaining
0	94	80436
1	182	77538
2	276	78141
3	372	78722
4	480	81172
5	597	84054
6	703	84662
7	809	85190
8	910	85064
9	1002	84197
10	1102	84074
11	1200	83820
12	1308	84272
13	1417	84669
14	1523	84826
15	1620	84457
16	1718	84219
17	1814	83878
18	1917	83857
19	2027	84156
20	2129	84071
21	2230	83931
22	2328	83738
23	2429	83625
24	2526	83380
25	2622	83117
26	2716	82795
27	2803	82297
28	2896	82012
29	2994	81843
30	3087	81558
31	3173	81112
32	3257	80642
33	3346	80325
34	3438	80056
35	3529	79794
36	3617	79494
37	3708	79249
38	3793	78891
39	3876	78506
40	3964	78216
41	4047	77866
42	4140	77715
43	4228	77466
44	4316	77209
45	4407	77033
46	4493	76772
47	4582	76562
48	4671	76359
49	4764	76236
50	4856	76087
51	4945	75891
52	5037	75747
53	5129	75615
54	5220	75466
55	5312	75324
56	5415	75343
57	5516	75333
58	5612	75246
59	5722	75349
60	5820	75280
61	5919	75233
62	6063	75746
63	6205	76212
64	6327	76416
65	6428	76366
66	6534	76364
67	6630	76247
68	6720	76071
69	6815	75946
70	6908	75800
71	7000	75644
72	7093	75501
73	7191	75411
74	7285	75278
75	7379	75156
76	7475	75050
77	7577	74995
78	7677	74926
79	7785	74937
80	7889	74898
81	7989	74826
82	8089	74757
83	8186	74649
84	8280	74523
85	8384	74489
86	8482	74395
87	8577	74275
88	8674	74171
89	8767	74037
90	8867	73958
91	8973	73937
92	9072	73845
93	9172	73770
94	9263	73622
95	9362	73530
96	9460	73439
97	9552	73301
98	9639	73123
99	9727	72952
100	9819	72820
101	9909	72667
102	9998	72514
103	10090	72378
104	10181	72236
105	10267	72066
106	10360	71939
107	10449	71793
108	10541	71660
109	10628	71500
110	10716	71346
111	10806	71204
112	10896	71071
113	10986	70927
114	11078	70807
115	11165	70652
116	11256	70521
117	11346	70387
118	11434	70240
119	11523	70102
120	11610	69950
121	11698	69806
122	11784	69655
123	11876	69534
124	11965	69398
125	12053	69260
126	12142	69126
127	12226	68966
128	12316	68840
129	12403	68697
130	12495	68581
131	12601	68543
132	12716	68555
133	12805	68424
134	12894	68293
135	12983	68162
136	13075	68049
137	13162	67912
138	13251	67780
139	13342	67667
140	13432	67544
141	13524	67431
142	13613	67303
143	13704	67190
144	13794	67071
145	13887	66964
146	13977	66844
147	14074	66757
148	14168	66656
149	14255	66526
150	14347	66418
151	14437	66300
152	14530	66195
153	14624	66095
154	14713	65974
155	14805	65863
156	14895	65751
157	14988	65647
158	15076	65520
159	15160	65380
160	15251	65269
161	15336	65134
162	15428	65026
163	15521	64926
164	15610	64806
165	15700	64693
166	15790	64580
167	15882	64474
168	15969	64350
169	16059	64236
170	16143	64101
171	16235	63996
172	16323	63880
173	16411	63759
174	16500	63646
175	16590	63532
176	16681	63428
177	16766	63299
178	16853	63177
179	16935	63038
180	17024	62923
181	17116	62822
182	17208	62722
183	17300	62621
184	17391	62516
185	17489	62436
186	17574	62311
187	17669	62218
188	17758	62108
189	17844	61984
190	17929	61861
191	18021	61760
192	18144	61765
193	18255	61731
194	18342	61612
195	18428	61492
196	18519	61387
197	18607	61273
198	18695	61160
199	18788	61063
200	18877	60952
201	18964	60838
202	19055	60732
203	19143	60621
204	19231	60509
205	19327	60421
206	19412	60301
207	19500	60189
208	19588	60076
209	19676	59965
210	19768	59868
211	19854	59750
212	19943	59642
213	20031	59532
214	20120	59425
215	20211	59324
216	20298	59212
217	20383	59093
218	20471	58984
219	20560	58877
220	20653	58782
221	20740	58670
222	20824	58552
223	20923	58472
224	21015	58375
225	21104	58270
226	21193	58166
227	21283	58061
228	21379	57977
229	21474	57889
230	21573	57809
231	21668	57720
232	21770	57650
233	21874	57584
234	21971	57499
235	22061	57398
236	22156	57306
237	22257	57232
238	22354	57150
239	22460	57087
240	22566	57026
241	22670	56957
242	22770	56880
243	22919	56923
244	22944	56659
245	23063	56626
246	23188	56610
247	23293	56542
248	23403	56486
249	23516	56439
250	23623	56376
251	23730	56313
252	23827	56225
253	23923	56136
254	24023	56054
255	24119	55964
256	24217	55879
257	24312	55786
258	24403	55684
259	24495	55585
260	24589	55490
261	24683	55397
262	24781	55310
263	24883	55234
264	24983	55152
265	25075	55053
266	25168	54955
267	25267	54872
268	25362	54780
269	25459	54690
270	25557	54605
271	25648	54502
272	25746	54417
273	25838	54317
274	25929	54215
275	26017	54108
276	26107	54005
277	26198	53904
278	26286	53797
279	26374	53690
280	26461	53582
281	26551	53478
282	26640	53376
283	26730	53272
284	26821	53173
285	26917	53082
286	27007	52979
287	27098	52878
288	27185	52772
289	27279	52678
290	27372	52582
291	27460	52476
292	27546	52365
293	27633	52260
294	27714	52141
295	27800	52032
296	27884	51919
297	27970	51810
298	28053	51696
299	28143	51596
300	28228	51487
301	28310	51370
302	28402	51274
303	28487	51164
304	28570	51052
305	28655	50943
306	28742	50837
307	28826	50726
308	28910	50616
309	28993	50505
310	29076	50393
311	29166	50293
312	29250	50184
313	29272	49968
314	29357	49860
315	29441	49751
316	29446	49511
317	29530	49402
318	29614	49295
319	29699	49189
320	29788	49090
321	29880	48996
322	29965	48891
323	30052	48788
324	30137	48683
325	30227	48586
326	30315	48486
327	30404	48387
328	30494	48290
329	30580	48187
330	30666	48084
331	30753	47983
332	30836	47876
333	30922	47772
334	31009	47671
335	31099	47574
336	31187	47476
337	31277	47378
338	31365	47279
339	31454	47181
340	31581	47141
341	31671	47044
342	31758	46943
343	31845	46843
344	31935	46746
345	32024	46649
346	32112	46548
347	32202	46452
348	32293	46358
349	32379	46256
350	32464	46153
351	32554	46056
352	32637	45951
353	32719	45843
354	32804	45741
355	32893	45644
356	32981	45545
357	33067	45445
358	33149	45338
359	33232	45232
360	33315	45127
361	33400	45025
362	33485	44923
363	33577	44830
364	33665	44734
365	33763	44649
366	33851	44550
367	33940	44454
368	34032	44361
369	34116	44259
370	34204	44162
371	34288	44059
372	34389	43977
373	34516	43929
374	34604	43832
375	34695	43738
376	34785	43642
377	34869	43541
378	34956	43442
379	35040	43340
380	35151	43270
381	35242	43177
382	35335	43085
383	35425	42990
384	35515	42894
385	35609	42804
386	35699	42710
387	35790	42616
388	35879	42520
389	35971	42427
390	36054	42325
391	36138	42223
392	36219	42117
393	36304	42017
394	36388	41916
395	36475	41817
396	36565	41723
397	36654	41627
398	36748	41537
399	36834	41439
400	36923	41343
401	37013	41248
402	37102	41153
403	37194	41060
404	37285	40967
405	37370	40867
406	37458	40772
407	37544	40673
408	37632	40576
409	37713	40472
410	37797	40372
411	37882	40273
412	37968	40174
413	38050	40072
414	38138	39976
415	38231	39885
416	38326	39796
417	38412	39699
418	38501	39604
419	38590	39509
420	38679	39414
421	38772	39323
422	38864	39231
423	38956	39139
424	39044	39044
425	39133	38949
426	39225	38857
427	39312	38761
428	39409	38674
429	39505	38586
430	39610	38508
431	39723	38436
432	39821	38349
433	39904	38249
434	39992	38153
435	40080	38057
436	40166	37960
437	40248	37858
438	40332	37760
439	40416	37660
440	40500	37562
441	40585	37463
442	40670	37365
443	40755	37267
444	40843	37172
445	40928	37073
446	41009	36973
447	41097	36877
448	41181	36778
449	41273	36687
450	41362	36593
451	41449	36497
452	41540	36405
453	41635	36316
454	41725	36223
455	41812	36127
456	41900	36032
457	41988	35937
458	42072	35839
459	42164	35748
460	42260	35659
461	42351	35568
462	42445	35478
463	42543	35391
464	42635	35300
465	42730	35211
466	42828	35124
467	42926	35038
468	43032	34958
469	43138	34877
470	43245	34798
471	43355	34721
472	43503	34673
473	43627	34607
474	43720	34515
475	43813	34425
476	43907	34334
477	44000	34243
478	44091	34149
479	44183	34058
480	44276	33966
481	44367	33874
482	44454	33778
483	44545	33685
484	44670	33618
485	44768	33530
486	44855	33434
487	44944	33340
488	45033	33245
489	45121	33150
490	45210	33056
491	45301	32963
492	45388	32867
493	45476	32772
494	45564	32677
495	45651	32581
496	45738	32486
497	45823	32389
498	45914	32296
499	46000	32200
500	46087	32104
501	46174	32009
502	46262	31914
503	46354	31823
504	46441	31727
505	46530	31633
506	46621	31541
507	46713	31448
508	46810	31360
509	46896	31264
510	46985	31170
511	47075	31077
512	47162	30982
513	47248	30886
514	47337	30792
515	47424	30697
516	47514	30603
517	47602	30509
518	47695	30418
519	47783	30323
520	47871	30229
521	47957	30134
522	48049	30042
523	48137	29947
524	48222	29851
525	48315	29760
526	48401	29665
527	48490	29572
528	48578	29477
529	48664	29382
530	48753	29288
531	48842	29195
532	48930	29101
533	49014	29005
534	49103	28911
535	49191	28817
536	49283	28725
537	49374	28633
538	49461	28538
539	49551	28446
540	49635	28349
541	49726	28257
542	49812	28163
543	49903	28070
544	49988	27975
545	50076	27881
546	50163	27786
547	50252	27694
548	50340	27600
549	50426	27505
550	50512	27410
551	50599	27316
552	50693	27225
553	50778	27130
554	50862	27035
555	50952	26942
556	51042	26849
557	51129	26755
558	51214	26661
559	51300	26566
560	51390	26473
561	51477	26379
562	51562	26285
563	51650	26191
564	51737	26097
565	51823	26003
566	51909	25908
567	52003	25818
568	52098	25729
569	52191	25637
570	52277	25543
571	52365	25450
572	52453	25357
573	52545	25265
574	52630	25171
575	52723	25080
576	52809	24986
577	52895	24892
578	52984	24799
